t = 0.3682; x1 = 0.123296; x2 = 0.0156689
t = 0.3702; x1 = 0.122435; x2 = 0.0155641
t = 0.3722; x1 = 0.121582; x2 = 0.0154603
t = 0.3742; x1 = 0.120738; x2 = 0.0153576
t = 0.3762; x1 = 0.119903; x2 = 0.0152559
t = 0.3782; x1 = 0.119077; x2 = 0.0151553
t = 0.3802; x1 = 0.118259; x2 = 0.0150556
t = 0.3822; x1 = 0.11745; x2 = 0.014957
t = 0.3842; x1 = 0.116649; x2 = 0.0148593
t = 0.3862; x1 = 0.115856; x2 = 0.0147626
t = 0.3882; x1 = 0.115071; x2 = 0.0146668
t = 0.3902; x1 = 0.114295; x2 = 0.014572
t = 0.3922; x1 = 0.113526; x2 = 0.0144781
t = 0.3942; x1 = 0.112765; x2 = 0.0143851
t = 0.3962; x1 = 0.112011; x2 = 0.014293
t = 0.3982; x1 = 0.111265; x2 = 0.0142017
t = 0.4002; x1 = 0.110526; x2 = 0.0141114
